INFO  - 2017-04-29 17:45:45.804; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2017-04-29 17:45:45.836; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /home/scurrae/Desktop/mall/solr-4.7.2/example/contexts at interval 0
INFO  - 2017-04-29 17:45:45.842; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /home/scurrae/Desktop/mall/solr-4.7.2/example/contexts/solr-jetty-context.xml
INFO  - 2017-04-29 17:45:45.897; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/home/scurrae/Desktop/mall/solr-4.7.2/example/webapps/solr.war!/ to /home/scurrae/Desktop/mall/solr-4.7.2/example/solr-webapp/webapp
INFO  - 2017-04-29 17:45:46.967; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2017-04-29 17:45:47.020; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2017-04-29 17:45:47.032; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2017-04-29 17:45:47.032; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2017-04-29 17:45:47.033; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2017-04-29 17:45:47.144; org.apache.solr.core.ConfigSolr; Loading container configuration from /home/scurrae/Desktop/mall/solr-4.7.2/example/solr/solr.xml
INFO  - 2017-04-29 17:45:47.214; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /home/scurrae/Desktop/mall/solr-4.7.2/example/solr
INFO  - 2017-04-29 17:45:47.224; org.apache.solr.core.CoreContainer; New CoreContainer 1427040229
INFO  - 2017-04-29 17:45:47.224; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2017-04-29 17:45:47.240; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2017-04-29 17:45:47.240; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2017-04-29 17:45:47.245; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2017-04-29 17:45:47.248; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2017-04-29 17:45:47.248; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2017-04-29 17:45:47.248; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2017-04-29 17:45:47.249; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2017-04-29 17:45:47.249; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2017-04-29 17:45:47.249; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2017-04-29 17:45:47.411; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2017-04-29 17:45:47.412; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2017-04-29 17:45:47.414; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2017-04-29 17:45:47.458; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /home/scurrae/Desktop/mall/solr-4.7.2/example/solr
INFO  - 2017-04-29 17:45:47.469; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /home/scurrae/Desktop/mall/solr-4.7.2/example/solr/collection1/
INFO  - 2017-04-29 17:45:47.470; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2017-04-29 17:45:47.472; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using instanceDir: /home/scurrae/Desktop/mall/solr-4.7.2/example/solr/collection1
INFO  - 2017-04-29 17:45:47.472; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/home/scurrae/Desktop/mall/solr-4.7.2/example/solr/collection1/'
INFO  - 2017-04-29 17:45:47.552; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2017-04-29 17:45:47.554; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/extraction/lib/pdfbox-1.8.1.jar' to classloader
INFO  - 2017-04-29 17:45:47.554; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/extraction/lib/poi-ooxml-schemas-3.9.jar' to classloader
INFO  - 2017-04-29 17:45:47.555; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2017-04-29 17:45:47.555; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2017-04-29 17:45:47.556; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/extraction/lib/fontbox-1.8.1.jar' to classloader
INFO  - 2017-04-29 17:45:47.556; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2017-04-29 17:45:47.556; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2017-04-29 17:45:47.557; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
